adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0
2766,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2/15/2017,,0,Beans (red) - Retail (KG),1391,Jau,156.6,15,1,1391_78_15_5,5,KG,1487116800,2017
2765,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,3/15/2017,,0,Beans (red) - Retail (KG),2240,Wunrok,146.5,15,1,2240_78_15_5,5,KG,1489536000,2017
2754,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,4/15/2017,,0,Beans (red) - Retail (KG),1384,Aweil (Town),184,15,1,1384_78_15_5,5,KG,1492214400,2017
2754,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,5/15/2017,,0,Beans (red) - Retail (KG),1384,Aweil (Town),182.5,15,1,1384_78_15_5,5,KG,1494806400,2017
2748,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,6/15/2017,,0,Beans (red) - Retail (KG),1388,Konyo Konyo,251,15,1,1388_78_15_5,5,KG,1497484800,2017
2768,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,7/15/2017,,0,Beans (red) - Retail (KG),2239,Yambio,233,15,1,2239_78_15_5,5,KG,1500076800,2017
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,8/15/2017,,0,Beans (red) - Retail (KG),2241,Mingkaman,250,15,1,2241_78_15_5,5,KG,1502755200,2017
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,9/15/2017,,0,Beans (red) - Retail (KG),1390,Rumbek,192,15,1,1390_78_15_5,5,KG,1505433600,2017
2754,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,10/15/2017,,0,Beans (red) - Retail (KG),1384,Aweil (Town),245,15,1,1384_78_15_5,5,KG,1508025600,2017
2751,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,11/15/2017,,0,Beans (red) - Retail (KG),1386,Bor,248,15,1,1386_78_15_5,5,KG,1510704000,2017
2748,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,12/15/2017,,0,Beans (red) - Retail (KG),1388,Konyo Konyo,236,15,1,1388_78_15_5,5,KG,1513296000,2017
2748,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,1/15/2018,,0,Beans (red) - Retail (KG),1388,Konyo Konyo,235,15,1,1388_78_15_5,5,KG,1515974400,2018
2751,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2/15/2018,,0,Beans (red) - Retail (KG),1386,Bor,300,15,1,1386_78_15_5,5,KG,1518652800,2018
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,3/15/2018,,0,Beans (red) - Retail (KG),2241,Mingkaman,350,15,1,2241_78_15_5,5,KG,1521072000,2018
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,4/15/2018,,0,Beans (red) - Retail (KG),2241,Mingkaman,413,15,1,2241_78_15_5,5,KG,1523750400,2018
2751,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,5/15/2018,,0,Beans (red) - Retail (KG),1386,Bor,300,15,1,1386_78_15_5,5,KG,1526342400,2018
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,6/15/2018,,0,Beans (red) - Retail (KG),1390,Rumbek,448.75,15,1,1390_78_15_5,5,KG,1529020800,2018
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,7/15/2018,,0,Beans (red) - Retail (KG),1390,Rumbek,437.5,15,1,1390_78_15_5,5,KG,1531612800,2018
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,8/15/2018,,0,Beans (red) - Retail (KG),1390,Rumbek,413,15,1,1390_78_15_5,5,KG,1534291200,2018
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,9/15/2018,,0,Beans (red) - Retail (KG),1390,Rumbek,400,15,1,1390_78_15_5,5,KG,1536969600,2018
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,10/15/2018,,0,Beans (red) - Retail (KG),1390,Rumbek,260,15,1,1390_78_15_5,5,KG,1539561600,2018
,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,,,11/15/2018,,1,Beans (red) - Retail (KG),,,297.6065574,,1,,,KG,,
