admin0,admin2,Year,Month,NDVI,NDVI_lag1
South Sudan,morobo,2002,Jan,0.7817648666666670,
South Sudan,morobo,2002,Feb,0.7791612666666670,0.7817648666666670
South Sudan,morobo,2002,Mar,0.7654705333333330,0.7791612666666670
South Sudan,morobo,2002,Apr,0.7113427333333330,0.7654705333333330
South Sudan,morobo,2002,May,0.7003074666666670,0.7113427333333330
South Sudan,morobo,2002,Jun,0.6536787000000000,0.7003074666666670
South Sudan,morobo,2003,Jan,0.5443527333333330,0.6536787000000000
South Sudan,morobo,2003,Feb,0.47414776666666700,0.5443527333333330
South Sudan,morobo,2003,Mar,0.5341897666666670,0.47414776666666700
South Sudan,morobo,2003,Apr,0.6170824666666670,0.5341897666666670
South Sudan,morobo,2003,May,0.7827497666666670,0.6170824666666670
South Sudan,morobo,2003,Jun,0.7963897666666670,0.7827497666666670
South Sudan,morobo,2003,Jul,0.7631250666666670,0.7963897666666670
South Sudan,morobo,2003,Aug,0.6992392333333330,0.7631250666666670
South Sudan,morobo,2003,Sep,0.7640743333333330,0.6992392333333330
South Sudan,morobo,2003,Oct,0.7243214,0.7640743333333330
South Sudan,morobo,2003,Nov,0.7054721333333330,0.7243214
South Sudan,morobo,2003,Dec,0.6517082666666670,0.7054721333333330
South Sudan,morobo,2004,Jan,0.5285581666666670,0.6517082666666670
South Sudan,morobo,2004,Feb,0.46476186666666700,0.5285581666666670
South Sudan,morobo,2004,Mar,0.5025601333333330,0.46476186666666700
South Sudan,morobo,2004,Apr,0.6949448333333340,0.5025601333333330
South Sudan,morobo,2004,May,0.8085263333333330,0.6949448333333340
South Sudan,morobo,2004,Jun,0.8009572,0.8085263333333330
South Sudan,morobo,2004,Jul,0.7956769666666670,0.8009572
South Sudan,morobo,2004,Aug,0.7557483,0.7956769666666670
South Sudan,morobo,2004,Sep,0.7528805,0.7557483
South Sudan,morobo,2004,Oct,0.7281815333333330,0.7528805
South Sudan,morobo,2004,Nov,0.7063036666666670,0.7281815333333330
South Sudan,morobo,2004,Dec,0.6209787666666670,0.7063036666666670
South Sudan,morobo,2005,Jan,0.4876430333333330,0.6209787666666670
South Sudan,morobo,2005,Feb,0.41173993333333300,0.4876430333333330
South Sudan,morobo,2005,Mar,0.5247726,0.41173993333333300
South Sudan,morobo,2005,Apr,0.6679144000000000,0.5247726
South Sudan,morobo,2005,May,0.7567437,0.6679144000000000
South Sudan,morobo,2005,Jun,0.7771053333333330,0.7567437
South Sudan,morobo,2005,Jul,0.7820515,0.7771053333333330
South Sudan,morobo,2005,Aug,0.7674014000000000,0.7820515
South Sudan,morobo,2005,Sep,0.7840863333333330,0.7674014000000000
South Sudan,morobo,2005,Oct,0.7778914,0.7840863333333330
South Sudan,morobo,2005,Nov,0.7050748000000000,0.7778914
South Sudan,morobo,2005,Dec,0.5792347000000000,0.7050748000000000
South Sudan,morobo,2006,Jan,0.4607559666666670,0.5792347000000000
South Sudan,morobo,2006,Feb,0.42716480000000000,0.4607559666666670
South Sudan,morobo,2006,Mar,0.5782712333333330,0.42716480000000000
South Sudan,morobo,2006,Apr,0.7743445333333330,0.5782712333333330
South Sudan,morobo,2006,May,0.8074290333333330,0.7743445333333330
