state,ea,weight,hh,hhsize,index,own_pre,owntotal_pre,yearp,vintage,price_pre,curr_pre,conv2ssp,own_post,owntotal_post,price_post,curr_post,drate,drate_median,cons_d,cons_d_weekly,cons_d_daily,cons_d_daily_pc
"Northern Bahr El Ghazal",1,77.11274,11,12,"Mobile phone","Yes",3,2015,1,170,"SSP",9.91,"Yes",3,100.5,,.21336377,.2133638,100.3039,1.922319,.274617,.0228848
"Northern Bahr El Ghazal",1,77.11274,12,8,"Mosquito net","Yes",5,2014,2,30,"SSP",4.66,"Yes",6,35,"SSP",.11002269,.1100227,24.13811,.4626059,.0660866,.0082608
"Northern Bahr El Ghazal",1,77.11274,12,8,"Hoe, spade or axe","Yes",1,2014,2,25,"SSP",4.66,"Yes",2,24,"SSP",.02507871,.1229538,10.58846,.2029273,.0289896,.0036237
"Northern Bahr El Ghazal",1,77.11274,12,8,"Mattress or bed","Yes",6,2009,7,300,"SDD",2.32,"Yes",6,450,"SSP",.0959599,.0959599,176.6214,3.38494,.4835629,.0604454
"Northern Bahr El Ghazal",2,454.05,1,10,"Mosquito net","Yes",3,,2,20,,,"Yes",3,20,,.00497512,.1100227,10.72805,.2056026,.0293718,.0029372
"Northern Bahr El Ghazal",2,454.05,1,10,"Mattress or bed","Yes",3,2005,11,30,"SDG",246.93,"Yes",3,150,"SSP",.0959599,.0959599,104.3672,2.000192,.2857417,.0285742
"Northern Bahr El Ghazal",2,454.05,1,10,"Hoe, spade or axe","Yes",2,2014,2,15,"SSP",4.66,"Yes",4,17,"SSP",.12295382,.1229538,20.98083,.4020966,.0574424,.0057442
"Northern Bahr El Ghazal",2,454.05,2,9,"Mattress or bed","Yes",4,2015,1,170,"SSP",9.91,"Yes",5,150,"SSP",.12203687,.0959599,184.6496,3.538801,.5055431,.0561715
"Northern Bahr El Ghazal",2,454.05,3,7,"Mosquito net","Yes",5,2011,5,19,,,"Yes",3,18,,.01567681,.1100227,9.655245,.1850423,.0264346,.0037764
"Northern Bahr El Ghazal",2,454.05,3,7,"Mattress or bed","Yes",1,2012,4,50,"SSP",4.45,"Yes",1,200,,.0959599,.0959599,32.11297,.6154437,.0879205,.0125601
"Northern Bahr El Ghazal",2,454.05,3,7,"Hoe, spade or axe","Yes",2,2007,9,30,"SSP",2.1,"Yes",2,50,"SSP",.12295382,.1229538,19.60825,.3757912,.0536845,.0076692
"Northern Bahr El Ghazal",2,454.05,4,5,"Hoe, spade or axe",,0,2014,2,20,"SSP",4.66,"Yes",3,15,"SSP",.13828318,.1229538,14.70619,.2818434,.0402633,.0080527
"Northern Bahr El Ghazal",2,454.05,4,5,"Mobile phone",,0,2014,2,150,"SSP",4.66,"Yes",1,100,"SSP",.18756559,.2133638,33.26828,.6375851,.0910836,.0182167
"Northern Bahr El Ghazal",2,454.05,4,5,"Mosquito net","Yes",3,2015,1,10,"SSP",9.91,"Yes",4,35,,.11002269,.1100227,25.03212,.4797394,.0685342,.0137068
"Northern Bahr El Ghazal",2,454.05,4,5,"Mattress or bed","Yes",3,2014,2,150,"SSP",4.66,"Yes",4,100,"SSP",.18756559,.0959599,112.3954,2.154053,.3077218,.0615444
