data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6867690,728,SSD1041,1041,"19 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Melut,"Khor Adar","Khor Adar",10.3833,32.25,1,"PR Newswire",International,"Fighting reported in Tonga and Adar.",0,1581982136,SSD
6975734,728,SSD1044,1044,"19 March 2014",2014,1,"Violence against civilians",Attack,"SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Civilians (South Sudan)","Dinka Ethnic Group (South Sudan); Maban Ethnic Group (South Sudan); Shilluk Ethnic Group (South Sudan)",7,27,"Eastern Africa","South Sudan","Upper Nile",Malakal,Obwa,Malakal,9.541,31.652,1,"Radio Tamazuj",Regional,"Retreating SPLA/M-IO forces attack places owned by people of the Dinka, Shilluk and Maban ethnic groups.",0,1583194176,SSD
6976256,728,SSD1035,1035,"18 March 2014",2014,2,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Longochuk,Renk,"Guel Guk",9.7572,32.9797,2,"Sudan Tribune",Regional,"Fighting reported in Guel Guk [Golguk, Gel Gok] in Longchuk county.",0,1583194180,SSD
6312492,728,SSD1038,1038,"18 March 2014",2014,1,Battles,"Armed clash","Twic East Area Youth Militia (South Sudan)",,4,"Murle Ethnic Militia (South Sudan)",,4,44,"Eastern Africa","South Sudan",Jonglei,"Twic East",Kongor,Panyagor,7.1633,31.4059,2,"Sudan Tribune",Regional,"After goats were stolen from Paliau in the Panding area of Twic East, the community attempted to attack the raiders. 4 people from Twic East were killed and one wounded.",4,1572403783,SSD
6312250,728,SSD1037,1037,"18 March 2014",2014,1,Battles,"Armed clash","Dinka Ethnic Militia (South Sudan)",,4,"Dinka Ethnic Militia (South Sudan)",,4,44,"Eastern Africa","South Sudan",Lakes,"Rumbek East","Alamtoch East",Maluell,6.51,29.91,2,"Sudan Tribune",Regional,"Clashes between Kook-awach Dinka and Kook-ker Pacuar Dinka, suspected to be revenge attacks from August of the previous year. Clashes occurred in Malual-acuooth on 20/3/2014 and Ayen Mayar on 18/3/2014. 15 people killed.",7,1572403783,SSD
6976353,728,SSD1040,1040,"18 March 2014",2014,1,"Violence against civilians","Abduction/forced disappearance","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Civilians (South Sudan)",,7,27,"Eastern Africa","South Sudan",Jonglei,Duk,"Duk Padiet","Duk Fadiat",7.7508,31.4087,2,"Sudan Tribune",Regional,"Opposition forces abducted hostages from Paju, Panyang Payam, near Duk. The location is also near Uror, an opposition stronghold.",0,1583194181,SSD
5324667,728,SSD1039,1039,"18 March 2014",2014,2,"Violence against civilians",Attack,"Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)","Aid Workers (South Sudan)",7,17,"Eastern Africa","South Sudan","Central Equatoria",Juba,Juba,Juba,4.8609,31.6178,3,AP,International,"Reports that the government has beaten UN personnel and aid workers - targetting workers who are South Sudanese and those who are vehicle drivers. In addition, vehicles have been forcibly searched.",0,1561469338,SSD
6975684,728,SSD1036,1036,"18 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Malakal,Obwa,Malakal,9.541,31.652,1,"Radio Tamazuj",Regional,"Fighting in Malakal continues.",0,1583194175,SSD
6976509,728,SSD1034,1034,"18 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Baliet,Sobat,Akoke,9.74,32.18,1,"UN (unspecified)",Other,"Fighting reported in Akoka.",0,1583194181,SSD
6976054,728,SSD1032,1032,"17 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Malakal,Obwa,Malakal,9.541,31.652,1,"Sudan Tribune",Regional,"Fighting in Malakal continues.",0,1583194178,SSD
