,Unnamed: 0,County,State,Year,Population,Pop_percent_change,Fatalities,intensity,Hospitals,estimated_yield,Population_Percent_Child,Population_Percent_Female,Poverty_Rate,Airport
319,307,Wulu,Lakes,2014,59030,0.041301033,0,0,0,17319.3,0.5521,0.4763,0.4,0
320,308,Yambio,Western Equatoria,2014,214662,0.040645294,2,0.093169727,27,122764.01,0.5201,0.4917,0.38,small_airport
321,309,Yei,Central Equatoria,2014,278004,0.023791025,9,0.323736349,26,49380,0.5508,0.533,0.34,small_airport
322,310,Yirol East,Lakes,2014,93900,0.041480298,0,0,0,15400,0.534,0.5044,0.53,0
323,311,Yirol West,Lakes,2014,147946,0.037337948,7,0.473145607,0,84600,0.5392,0.503,0.51,small_airport
324,312,Abiemnhom,Unity,2015,31683,0.239970962,0,0,0,15,0.5277,0.5003,0.53,0
325,313,Akobo,Jonglei,2015,188273,-0.019774476,56,2.97440419,0,39500,0.5063,0.5114,0.52,small_airport
326,314,Aweil Centre,Northern Bahr el Ghazal,2015,87394,0.342723757,0,0,6,143810.86,0.5897,0.4962,0.76,small_airport
327,315,Aweil East,Northern Bahr el Ghazal,2015,431148,-0.013164853,4,0.092775567,21,89617.614,0.5946,0.5288,0.75,0
328,316,Aweil North,Northern Bahr el Ghazal,2015,206227,0.104608029,0,0,22,57690.84,0.5856,0.5275,0.77,0
329,317,Aweil South,Northern Bahr el Ghazal,2015,100235,-0.023983638,0,0,6,78502,0.5441,0.5218,0.82,0
330,318,Aweil West,Northern Bahr el Ghazal,2015,234997,0.017957676,36,1.53193445,16,72439.62,0.602,0.5112,0.67,0
331,319,Awerial,Lakes,2015,70333,0.055336755,0,0,1,22105.4,0.5854,0.513,0.48,0
332,320,Ayod,Jonglei,2015,205460,0.042348876,283,13.7739706,0,13304,0.5037,0.5032,0.62,0
333,321,Baliet,Upper Nile,2015,102762,0.320935754,5,0.48656118,0,0,0.611,0.4644,0.32,0
334,322,Bor South,Jonglei,2015,325643,0.041969273,37,1.136213584,11,87516.84,0.5447,0.4924,0.5,small_airport
335,323,Budi,Eastern Equatoria,2015,141506,0.024090851,2,0.141336763,13,37500,0.5634,0.5293,0.57,0
336,324,Canal/Pigi,Jonglei,2015,142551,0.029827921,15,1.052254982,0,0,0.4499,0.5086,0.44,0
337,325,Cueibet,Lakes,2015,171516,0.031781292,38,2.215536743,0,49743,0.547,0.4728,0.49,0
338,326,Duk,Jonglei,2015,95443,0.035047096,9,0.942971197,2,16709.7,0.5428,0.5002,0.54,0
339,327,Ezo,Western Equatoria,2015,113365,0.0346315,4,0.352842588,7,14527.9,0.5013,0.5319,0.45,0
340,328,Fangak,Jonglei,2015,159893,0.026624055,0,0,0,0,0.5839,0.4698,0.55,0
341,328,Fangak,Jonglei,2015,159893,0.026624055,0,0,0,819.98,0.5839,0.4698,0.55,0
342,329,Fashoda,Upper Nile,2015,47524,-0.082926521,24,5.05007996,1,5900,0.545,0.531,0.21,0
343,330,Gogrial East,Warrap,2015,144706,0.026522743,21,1.451218332,13,21100,0.5588,0.4879,0.64,0
344,331,Gogrial West,Warrap,2015,311870,-0.102872992,39,1.25052105,12,49305.6,0.558,0.4828,0.63,0
345,332,Guit,Unity,2015,38436,-0.27167239,95,24.7164117,0,0,0.592,0.5118,0.75,0
346,333,Ibba,Western Equatoria,2015,59867,0.018340655,0,0,5,11670,0.5326,0.4638,0.44,small_airport
347,334,Ikotos,Eastern Equatoria,2015,107072,-0.125364241,3,0.280185296,12,33300,0.5351,0.5271,0.46,0
348,335,Juba,Central Equatoria,2015,528544,-0.208601365,165,3.121783617,33,9802.14,0.4844,0.5165,0.36,large_airport
349,336,Jur River,Western Bahr el Ghazal,2015,142329,-0.264703609,11,0.772857253,23,203479.66,0.5908,0.5256,0.6,0
350,337,Kajo-keji,Central Equatoria,2015,272878,0.212736095,11,0.403110548,26,67082.3,0.162,0.4712,0.45,small_airport
351,338,Kapoeta East,Eastern Equatoria,2015,240403,-0.071197115,0,0,7,190235,0.5607,0.4842,0.46,small_airport
352,339,Kapoeta North,Eastern Equatoria,2015,146527,0.017607676,7,0.477727654,4,11803.8,0.595,0.4827,0.58,0
353,340,Kapoeta South,Eastern Equatoria,2015,109765,-0.022666606,0,0,0,17083.9,0.6188,0.49894,0.47,small_airport
354,340,Kapoeta South,Eastern Equatoria,2015,109765,-0.022666606,0,0,0,17083.9,0.6188,0.49894,0.47,small_airport
355,341,Koch,Unity,2015,115691,0.079262864,125,10.8046434,0,6009.2,0.532,0.5451,0.67,0
356,342,Lafon,Eastern Equatoria,2015,86583,-0.714944042,3,0.346488341,1,5600,0.586,0.536,0.49,0
357,343,Lainya,Central Equatoria,2015,132662,0.052464157,35,2.638283759,14,104200,0.42,0.472,0.44,0
358,344,Leer,Unity,2015,79520,0.061883803,492,61.87122736,0,0,0.5245,0.5321,0.72,0
359,345,Longochuk,Upper Nile,2015,162036,0.439902244,0,0,0,30179,0.5527,0.5065,0.31,0
360,346,Luakpiny/Nasir,Upper Nile,2015,283397,-0.044993419,29,1.02329947,0,34943,0.5795,0.5293,0.32,0
361,347,Maban,Upper Nile,2015,63719,0.027166151,38,5.963684301,0,70,0.5768,0.5001,0.26,0
362,348,Magwi,Eastern Equatoria,2015,245674,0.034395174,20,0.814086961,12,7930.14,0.5335,0.487,0.36,small_airport
363,349,Maiwut,Upper Nile,2015,120843,0.058025703,0,0,0,0,0.5452,0.4675,0.27,0
364,350,Malakal,Upper Nile,2015,182700,0.023409962,203,11.11111111,0,0,0.232,0.4044,0.12,medium_airport
365,351,Manyo,Upper Nile,2015,52618,0.117621346,88,16.72431487,0,0,0.4153,0.4881,0.19,0
366,352,Maridi,Western Equatoria,2015,116347,0.0020542,53,4.555338771,19,31861.36,0.5102,0.5351,0.35,small_airport
367,353,Mayendit,Unity,2015,91282,0.2021209,133,14.5702329,0,14512.32,0.5528,0.4934,0.77,0
368,354,Mayom,Unity,2015,185773,0.063060832,81,4.36015998,0,81.5,0.5719,0.5077,0.73,0
369,355,Melut,Upper Nile,2015,73620,0.062401521,62,8.421624559,0,0,0.6177,0.4976,0.21,0
370,356,Morobo,Central Equatoria,2015,136413,0.248788605,6,0.439840778,6,11160,0.5275,0.4899,0.41,0
371,357,Mundri East,Western Equatoria,2015,85452,0.201809203,14,1.638346674,0,4680,0.4707,0.4727,0.45,0
372,358,Mundri West,Western Equatoria,2015,61436,0.226088938,90,14.64939124,8,38004,0.566,0.4822,0.54,small_airport
373,359,Mvolo,Western Equatoria,2015,73196,0.067899885,0,0,9,33842.5,0.5574,0.4886,0.53,small_airport
374,360,Nagero,Western Equatoria,2015,15405,0.08510224,0,0,2,1793.1,0.438,0.51944,0.49,0
375,361,Nyirol,Jonglei,2015,168797,0.089136655,28,1.658797254,0,12810,0.5759,0.504,0.43,0
376,362,Nzara,Western Equatoria,2015,99151,0.068188924,13,1.311131506,8,23950.45,0.5421,0.5175,0.37,small_airport
377,363,Panyijiar,Unity,2015,74465,0.040018801,32,4.297320889,0,122034.3,0.5827,0.50005,0.7,0
378,364,Panyikang,Upper Nile,2015,33193,-0.899075106,24,7.230440153,0,0,0.237,0.4184,0.21,0
379,365,Pariang,Unity,2015,117272,0.012048912,139,11.85278668,0,0,0.5563,0.5024,0.74,0
380,366,Pibor,Jonglei,2015,219406,0.044738977,5,0.227888025,0,9680,0.547,0.5222,0.44,small_airport
381,367,Pochalla,Jonglei,2015,94153,0.006893036,13,1.380731363,0,18.8,0.6082,0.55756,0.56,small_airport
382,368,Raga,Western Bahr el Ghazal,2015,70514,0.068482854,31,4.396290098,8,105686.15,0.5616,0.4897,0.4,small_airport
383,369,Renk,Upper Nile,2015,204853,0.058251527,35,1.708542223,0,0,0.5837,0.4701,0.22,medium_airport
384,369,Renk,Upper Nile,2015,204853,0.058251527,35,1.708542223,0,0,0.5837,0.4701,0.22,small_airport
385,370,Rubkona,Unity,2015,158885,0.109853038,116,7.300877994,0,10000,0.5294,0.5059,0.5,small_airport
386,371,Rumbek Centre,Lakes,2015,330992,0.347531058,317,9.57727075,0,158437,0.5838,0.4916,0.44,small_airport
387,372,Rumbek East,Lakes,2015,105757,-0.603439961,72,6.808059987,0,186990,0.5579,0.5095,0.46,0
388,373,Rumbek North,Lakes,2015,56847,-0.073900118,7,1.231375446,0,1810.3,0.6121,0.5188,0.57,0
389,374,Tambura,Western Equatoria,2015,78384,0.033616554,0,0,8,19559.8,0.5226,0.525,0.36,small_airport
390,375,Terekeka,Central Equatoria,2015,195018,0.03759653,11,0.564050498,23,25817.7,0.5166,0.5185,0.69,0
391,376,Tonj East,Warrap,2015,179737,0.086849118,90,5.007316245,8,57492.7,0.5684,0.4503,0.67,0
392,377,Tonj North,Warrap,2015,247388,0.045588307,65,2.627451614,8,64348.8,0.5137,0.5101,0.67,0
393,378,Tonj South,Warrap,2015,121827,-0.009373948,6,0.492501662,8,53108.8,0.5357,0.4849,0.56,small_airport
394,379,Torit,Eastern Equatoria,2015,152296,0.076554867,41,2.69212586,14,10117.5,0.555,0.536,0.39,small_airport
395,380,Twic,Warrap,2015,298720,0.043134039,5,0.167380825,14,11156,0.5655,0.5091,0.63,0
396,381,Twic East,Jonglei,2015,117806,-0.0171723,53,4.498921956,0,38802.5,0.4821,0.5531,0.5,0
397,382,Ulang,Upper Nile,2015,120030,-0.006814963,0,0,0,39.2,0.5132,0.5208,0.38,0
398,383,Uror,Jonglei,2015,264325,0.048292821,0,0,0,7737.438,0.5946,0.5168,0.4,0
399,384,Wau,Western Bahr el Ghazal,2015,249343,0.142715055,80,3.208431759,23,512211.77,0.5672,0.53214,0.41,medium_airport
400,385,Wulu,Lakes,2015,68055,0.132613327,1,0.146939975,0,17319.3,0.5521,0.4763,0.4,0
401,386,Yambio,Western Equatoria,2015,209825,-0.023052544,40,1.90635053,27,122764.01,0.5201,0.4917,0.38,small_airport
402,387,Yei,Central Equatoria,2015,294972,0.057524104,4,0.135606091,26,49380,0.5508,0.533,0.34,small_airport
403,388,Yirol East,Lakes,2015,117978,0.204088898,0,0,0,15400,0.534,0.5044,0.53,0
404,389,Yirol West,Lakes,2015,100953,-0.465493844,35,3.466959872,0,84600,0.5392,0.503,0.51,small_airport
