,county,state,year,population,pop_percent_change,fatalities,county_hospitals,intensity
343,Kapoeta North,Eastern Equatoria,2015,146527.0,0.017607676400936346,7.0,1.0,0.4777276542889707
344,Kapoeta South,Eastern Equatoria,2015,109765.0,-0.022666605930852277,,,
345,Koch,Unity,2015,115691.0,0.07926286400843627,125.0,3.0,10.80464340354911
346,Lafon,Eastern Equatoria,2015,86583.0,-0.7149440421329822,,,
347,Lainya,Central Equatoria,2015,132662.0,0.05246415703064932,35.0,7.0,2.6382837587251813
348,Leer,Unity,2015,79520.0,0.06188380281690141,492.0,2.0,61.87122736418511
349,Longochuk,Upper Nile,2015,162036.0,0.4399022439457898,0.0,4.0,0.0
350,Luakpiny/Nasir,Upper Nile,2015,283397.0,-0.044993419125819965,29.0,5.0,1.0232994703543086
351,Maban,Upper Nile,2015,63719.0,0.027166151383417818,38.0,2.0,5.963684301385772
352,Magwi,Eastern Equatoria,2015,245674.0,0.03439517409249656,20.0,16.0,0.8140869607691493
353,Maiwut,Upper Nile,2015,120843.0,0.0580257027713645,,,
354,Malakal,Upper Nile,2015,182700.0,0.023409961685823755,203.0,14.0,11.11111111111111
355,Manyo,Upper Nile,2015,52618.0,0.1176213463073473,88.0,4.0,16.724314873237297
356,Maridi,Western Equatoria,2015,116347.0,0.002054199936397157,53.0,6.0,4.555338771089929
357,Mayendit,Unity,2015,91282.0,0.20212090006792138,133.0,3.0,14.570232904625227
358,Mayom,Unity,2015,185773.0,0.063060832306094,81.0,3.0,4.360159980190878
359,Melut,Upper Nile,2015,73620.0,0.062401521325726704,62.0,2.0,8.421624558543874
360,Morobo,Central Equatoria,2015,136413.0,0.24878860519158733,6.0,3.0,0.4398407776384949
361,Mundri East,Western Equatoria,2015,85452.0,0.20180920282731826,14.0,5.0,1.6383466741562513
362,Mundri West,Western Equatoria,2015,61436.0,0.2260889380819064,90.0,2.0,14.64939123640862
363,Mvolo,Western Equatoria,2015,73196.0,0.06789988523963059,,,
364,Nagero,Western Equatoria,2015,15405.0,0.08510223953261928,,,
365,Nyirol,Jonglei,2015,168797.0,0.08913665527230934,28.0,2.0,1.6587972535056903
366,Nzara,Western Equatoria,2015,99151.0,0.06818892396445825,13.0,7.0,1.3111315064901008
367,Panyijiar,Unity,2015,74465.0,0.04001880077888941,,,
368,Panyikang,Upper Nile,2015,33193.0,-0.8990751061970897,24.0,4.0,7.230440153044317
369,Pariang,Unity,2015,117272.0,0.012048911931236783,139.0,2.0,11.852786683948429
370,Pibor,Jonglei,2015,219406.0,0.04473897705623365,5.0,3.0,0.22788802494006546
371,Pochalla,Jonglei,2015,94153.0,0.006893035803426338,13.0,1.0,1.3807313627818552
372,Raga,Western Bahr el Ghazal,2015,70514.0,0.06848285446861616,,,
373,Renk,Upper Nile,2015,204853.0,0.058251526704514944,35.0,7.0,1.7085422229598786
374,Rubkona,Unity,2015,158885.0,0.10985303836107876,116.0,8.0,7.300877993517324
375,Rumbek Centre,Lakes,2015,330992.0,0.3475310581524629,317.0,6.0,9.577270749746218
376,Rumbek East,Lakes,2015,105757.0,-0.6034399614209934,72.0,6.0,6.808059986572992
377,Rumbek North,Lakes,2015,56847.0,-0.0739001178602213,,,
378,Tambura,Western Equatoria,2015,78384.0,0.03361655439885691,0.0,5.0,0.0
379,Terekeka,Central Equatoria,2015,195018.0,0.037596529551118356,11.0,6.0,0.5640504979027577
380,Tonj East,Warrap,2015,179737.0,0.08684911843415657,90.0,2.0,5.007316245403006
381,Tonj North,Warrap,2015,247388.0,0.04558830662764564,65.0,6.0,2.627451614467961
382,Tonj South,Warrap,2015,121827.0,-0.009373948303742191,6.0,3.0,0.4925016621931099
383,Torit,Eastern Equatoria,2015,152296.0,0.07655486683826233,41.0,8.0,2.692125860167043
384,Twic,Warrap,2015,298720.0,0.043134038564542045,5.0,10.0,0.16738082485270486
385,Twic East,Jonglei,2015,117806.0,-0.017172300222399538,53.0,2.0,4.498921956436853
386,Ulang,Upper Nile,2015,120030.0,-0.006814962925935183,0.0,2.0,0.0
387,Uror,Jonglei,2015,264325.0,0.04829282133736877,0.0,1.0,0.0
388,Wau,Western Bahr el Ghazal,2015,249343.0,0.14271505516497354,80.0,18.0,3.208431758661763
389,Wulu,Lakes,2015,68055.0,0.13261332745573434,1.0,2.0,0.14693997502020426
390,Yambio,Western Equatoria,2015,209825.0,-0.02305254378648874,40.0,9.0,1.9063505302037411
391,Yei,Central Equatoria,2015,294972.0,0.05752410398275091,4.0,10.0,0.13560609142562682
392,Yirol East,Lakes,2015,117978.0,0.20408889793012255,0.0,3.0,0.0
393,Yirol West,Lakes,2015,100953.0,-0.46549384366982655,35.0,5.0,3.466959872415877
394,,TOTALS:,2015,11873659.0,0.026724196812456885,,,
395,,,2013,,,6.0,,
396,,,2013,,,128.0,,
397,,,2013,,,14.0,,
398,,,2013,,,1.0,,
399,,,2011,,,52.0,,
400,,,2011,,,2.0,,
401,,,2012,,,72.0,,
402,,,2012,,,15.0,,
403,,,2014,,,517.0,,
404,,,2014,,,68.0,,
405,,,2014,,,90.0,,
406,,,2014,,,231.0,,
407,,,2015,,,37.0,,
408,,,2015,,,15.0,,
409,,,2015,,,3.0,,
410,,,2015,,,32.0,,
411,,,2015,,,7.0,,
412,Kajo-Keji,Central Equatoria,2013,,,1.0,13.0,
413,Kajo-Keji,Central Equatoria,2014,,,2.0,13.0,
414,Kajo-Keji,Central Equatoria,2015,,,11.0,13.0,
415,Raja,Western Bahr el Ghazal,2011,,,40.0,3.0,
416,Raja,Western Bahr el Ghazal,2012,,,3.0,3.0,
417,Raja,Western Bahr el Ghazal,2013,,,33.0,3.0,
418,Raja,Western Bahr el Ghazal,2014,,,37.0,3.0,
419,Raja,Western Bahr el Ghazal,2015,,,31.0,3.0,
