,county,state,year,population,pop_percent_change,fatalities,county_hospitals,intensity
170,Canal/Pigi,Jonglei,2013,134130.0,0.04381570118541724,,,
171,Cueibet,Lakes,2013,159384.0,0.041804698087637406,0.0,4.0,0.0
172,Duk,Jonglei,2013,88150.0,0.03609756097560975,30.0,3.0,3.4032898468519566
173,Ezo,Western Equatoria,2013,104202.0,0.04457687952246598,2.0,6.0,0.19193489568338418
174,Fangak,Jonglei,2013,149169.0,0.04736238762745611,4.0,6.0,0.26815223002098293
175,Fashoda,Upper Nile,2013,49354.0,0.046764193378449566,,,
176,Gogrial East,Warrap,2013,138677.0,0.026255255017054016,,,
177,Gogrial West,Warrap,2013,330746.0,0.047401933810235046,11.0,8.0,0.33258149758424893
178,Guit,Unity,2013,46612.0,0.0665493864240968,,,
179,Ibba,Western Equatoria,2013,56354.0,0.041132838840188805,,,
180,Ikotos,Eastern Equatoria,2013,115576.0,0.058281996262199764,,,
181,Juba,Central Equatoria,2013,502333.0,0.041960213643141106,2105.0,31.0,41.90447372559637
182,Jur River,Western Bahr el Ghazal,2013,172891.0,0.042257838753896965,,,
183,Kajo-keji,Central Equatoria,2013,266129.0,0.0468118844620466,,,
184,Kapoeta East,Eastern Equatoria,2013,246799.0,0.06616720489142987,,,
185,Kapoeta North,Eastern Equatoria,2013,138111.0,0.04193728233087879,,,
186,Kapoeta South,Eastern Equatoria,2013,107634.0,0.042161398814501,5.0,3.0,0.464537228013453
187,Koch,Unity,2013,102917.0,0.0846507379733183,8.0,3.0,0.7773254175694977
188,Lafon,Eastern Equatoria,2013,142325.0,0.04110310908132794,,,
189,Lainya,Central Equatoria,2013,120778.0,0.04329430856612959,,,
190,Leer,Unity,2013,71451.0,0.029502736140851773,0.0,2.0,0.0
191,Longochuk,Upper Nile,2013,87497.0,0.06312216418848646,,,
192,Luakpiny/Nasir,Upper Nile,2013,285009.0,0.04609678992593216,0.0,5.0,0.0
193,Maban,Upper Nile,2013,58492.0,-0.00796690145660945,0.0,2.0,0.0
194,Magwi,Eastern Equatoria,2013,227170.0,0.047334595237047146,1.0,16.0,0.044019896993441034
195,Maiwut,Upper Nile,2013,108610.0,0.07576650400515607,,,
196,Malakal,Upper Nile,2013,171238.0,0.042940235228161976,102.0,14.0,5.956621777876406
197,Manyo,Upper Nile,2013,49112.0,-0.025574197752076887,,,
198,Maridi,Western Equatoria,2013,111317.0,0.04513236971891086,,,
199,Mayendit,Unity,2013,69668.0,-0.029827180341046103,,,
200,Mayom,Unity,2013,163000.0,0.0439079754601227,8.0,3.0,0.49079754601226994
201,Melut,Upper Nile,2013,66491.0,0.0467130889894873,,,
202,Morobo,Central Equatoria,2013,136376.0,0.05168798028978706,,,
203,Mundri East,Western Equatoria,2013,65334.99999999999,0.04187648274278707,,,
204,Mundri West,Western Equatoria,2013,45521.0,0.04217833527382966,,,
205,Mvolo,Western Equatoria,2013,65062.0,0.041898496818419353,,,
206,Nagero,Western Equatoria,2013,13516.0,0.04172832198875407,,,
207,Nyirol,Jonglei,2013,147274.0,0.048032918234039955,3.0,2.0,0.20370194331653924
208,Nzara,Western Equatoria,2013,88683.0,0.043875376340448566,,,
209,Panyijiar,Unity,2013,68468.0,0.04264766022083309,,,
210,Panyikang,Upper Nile,2013,59991.0,0.019852977946692003,,,
211,Pariang,Unity,2013,111231.0,0.03730075248806538,53.0,2.0,4.764858717443878
212,Pibor,Jonglei,2013,201034.0,0.04327626172687207,811.0,3.0,40.34143478217615
213,Pochalla,Jonglei,2013,89708.0,0.09986846212154991,0.0,1.0,0.0
214,Raga,Western Bahr el Ghazal,2013,64334.99999999999,0.033745239760627856,,,
215,Renk,Upper Nile,2013,183601.0,0.0339867429915959,22.0,7.0,1.1982505541908812
216,Rubkona,Unity,2013,135220.0,0.047470788344919496,358.0,8.0,26.47537346546369
217,Rumbek Centre,Lakes,2013,207053.0,0.042259711281652526,129.0,6.0,6.230288863237915
218,Rumbek East,Lakes,2013,162798.0,0.04095259155517881,0.0,6.0,0.0
219,Rumbek North,Lakes,2013,58599.0,0.03928394682503114,,,
220,Tambura,Western Equatoria,2013,72162.0,0.04326376763393476,1.0,5.0,0.13857709043540922
221,Terekeka,Central Equatoria,2013,189872.0,0.041801845453779386,,,
222,Tonj East,Warrap,2013,157054.0,0.04146344569383779,,,
223,Tonj North,Warrap,2013,227069.0,0.06384843373600095,138.0,6.0,6.07744782422964
224,Tonj South,Warrap,2013,117813.0,0.04499503450383235,30.0,3.0,2.546408291105396
225,Torit,Eastern Equatoria,2013,135055.0,0.04290844470771178,16.0,8.0,1.1847025285994595
226,Twic,Warrap,2013,276077.0,0.040564769973594324,29.0,10.0,1.05043158249329
227,Twic East,Jonglei,2013,114868.0,0.04191767942333809,94.0,2.0,8.183306055646481
228,Ulang,Upper Nile,2013,115797.0,0.019853709508881923,27.0,2.0,2.331666623487655
229,Uror,Jonglei,2013,241622.0,0.04219400551274304,0.0,1.0,0.0
230,Wau,Western Bahr el Ghazal,2013,204779.0,0.042294375888152595,50.0,18.0,2.441656615180267
231,Wulu,Lakes,2013,56592.0,0.04258552445575346,,,
232,Yambio,Western Equatoria,2013,205937.0,0.04446019899289588,0.0,9.0,0.0
233,Yei,Central Equatoria,2013,271390.0,0.04422417922546899,,,
234,Yirol East,Lakes,2013,90005.0,0.041675462474306986,,,
235,Yirol West,Lakes,2013,142422.0,0.04272514077881226,8.0,5.0,0.5617109716195532
236,,TOTALS:,2013,11090312.0,0.04368533545314145,,,
237,Abiemnhom,Unity,2014,24080.0,0.0364202657807309,0.0,2.0,0.0
238,Akobo,Jonglei,2014,191996.0,0.04096439509156441,8.0,2.0,0.4166753474030709
239,Aweil Centre,Northern Bahr el Ghazal,2014,57442.0,0.021743671877720135,1.0,2.0,0.17408864593851187
240,Aweil East,Northern Bahr el Ghazal,2014,436824.0,0.04365602622566526,3.0,6.0,0.06867754518982473
