,year,state,county,fatalities,county_hospitals,population,intensity
129,2012,Unity,Pariang,30,6.0,107082.0,2.801591303860593
130,2013,Unity,Pariang,53,6.0,111231.0,4.764858717443878
131,2014,Unity,Pariang,214,6.0,115859.0,18.47072734962325
132,2015,Unity,Pariang,139,6.0,117272.0,11.852786683948429
133,2011,Jonglei,Pibor,180,14.0,171159.0,10.516537254833226
134,2012,Jonglei,Pibor,3188,14.0,192334.0,165.7533249451475
135,2013,Jonglei,Pibor,811,14.0,201034.0,40.34143478217615
136,2015,Jonglei,Pibor,5,14.0,219406.0,0.22788802494006546
137,2013,Jonglei,Pochalla,0,6.0,89708.0,0.0
138,2014,Jonglei,Pochalla,40,6.0,93504.0,4.277891854893908
139,2015,Jonglei,Pochalla,13,6.0,94153.0,1.3807313627818552
140,2012,Upper Nile,Renk,43,22.0,177361.0,2.4244337819475534
141,2013,Upper Nile,Renk,22,22.0,183601.0,1.1982505541908812
142,2014,Upper Nile,Renk,195,22.0,192920.0,10.107816711590297
143,2015,Upper Nile,Renk,35,22.0,204853.0,1.7085422229598786
144,2011,Unity,Rubkona,2,11.0,114464.0,0.174727425216662
145,2012,Unity,Rubkona,259,11.0,128800.99999999999,20.108539529972596
146,2013,Unity,Rubkona,358,11.0,135220.0,26.47537346546369
147,2014,Unity,Rubkona,1401,11.0,141431.0,99.05890504910522
148,2015,Unity,Rubkona,116,11.0,158885.0,7.300877993517324
149,2012,Lakes,Rumbek Centre,19,18.0,198303.0,0.9581297307655456
150,2013,Lakes,Rumbek Centre,129,18.0,207053.0,6.230288863237915
151,2014,Lakes,Rumbek Centre,88,18.0,215962.0,4.074790935442346
152,2015,Lakes,Rumbek Centre,317,18.0,330992.0,9.577270749746218
153,2013,Lakes,Rumbek East,0,24.0,162798.0,0.0
154,2014,Lakes,Rumbek East,264,24.0,169575.0,15.568332596196372
155,2015,Lakes,Rumbek East,72,24.0,105757.0,6.808059986572992
156,2013,Western Equatoria,Tambura,1,14.0,72162.0,0.13857709043540922
157,2014,Western Equatoria,Tambura,2,14.0,75749.0,0.2640298881833424
158,2015,Western Equatoria,Tambura,0,14.0,78384.0,0.0
159,2014,Central Equatoria,Terekeka,20,45.0,187686.0,1.065609581961361
160,2015,Central Equatoria,Terekeka,11,45.0,195018.0,0.5640504979027577
161,2014,Warrap,Tonj East,3,12.0,164127.0,0.18278528212908296
162,2015,Warrap,Tonj East,90,12.0,179737.0,5.007316245403006
163,2012,Warrap,Tonj North,40,23.0,212571.0,1.8817242239063654
164,2013,Warrap,Tonj North,138,23.0,227069.0,6.07744782422964
165,2014,Warrap,Tonj North,23,23.0,236110.0,0.9741222311634408
166,2015,Warrap,Tonj North,65,23.0,247388.0,2.627451614467961
167,2012,Warrap,Tonj South,112,12.0,112512.0,9.954493742889646
168,2013,Warrap,Tonj South,30,12.0,117813.0,2.546408291105396
169,2014,Warrap,Tonj South,238,12.0,122969.0,19.35447145215461
170,2015,Warrap,Tonj South,6,12.0,121827.0,0.4925016621931099
171,2012,Eastern Equatoria,Torit,1,30.0,129259.99999999999,0.07736345350456446
172,2013,Eastern Equatoria,Torit,16,30.0,135055.0,1.1847025285994595
173,2014,Eastern Equatoria,Torit,60,30.0,140637.0,4.266302608844045
174,2015,Eastern Equatoria,Torit,41,30.0,152296.0,2.692125860167043
175,2013,Warrap,Twic,29,25.0,276077.0,1.05043158249329
176,2014,Warrap,Twic,114,25.0,285835.0,3.988314936939143
177,2015,Warrap,Twic,5,25.0,298720.0,0.16738082485270486
178,2012,Jonglei,Twic East,14,11.0,110053.0,1.272114344906545
179,2013,Jonglei,Twic East,94,11.0,114868.0,8.183306055646481
180,2014,Jonglei,Twic East,28,11.0,119829.0,2.3366630782197966
181,2015,Jonglei,Twic East,53,11.0,117806.0,4.498921956436853
182,2013,Upper Nile,Ulang,27,8.0,115797.0,2.331666623487655
183,2014,Upper Nile,Ulang,0,8.0,120848.0,0.0
184,2015,Upper Nile,Ulang,0,8.0,120030.0,0.0
185,2011,Jonglei,Uror,1832,10.0,205686.0,89.0678023783826
186,2012,Jonglei,Uror,68,10.0,231427.0,2.9382915563006913
187,2013,Jonglei,Uror,0,10.0,241622.0,0.0
188,2014,Jonglei,Uror,183,10.0,251560.0,7.27460645571633
189,2015,Jonglei,Uror,0,10.0,264325.0,0.0
190,2011,Western Bahr el Ghazal,Wau,0,49.0,174346.0,0.0
191,2012,Western Bahr el Ghazal,Wau,52,49.0,196118.0,2.651464934376243
192,2013,Western Bahr el Ghazal,Wau,50,49.0,204779.0,2.441656615180267
193,2014,Western Bahr el Ghazal,Wau,6,49.0,213758.0,0.2806912489824942
194,2015,Western Bahr el Ghazal,Wau,80,49.0,249343.0,3.208431758661763
195,2015,Lakes,Wulu,1,13.0,68055.0,0.14693997502020426
196,2011,Western Equatoria,Yambio,0,43.0,174817.0,0.0
197,2013,Western Equatoria,Yambio,0,43.0,205937.0,0.0
198,2014,Western Equatoria,Yambio,2,43.0,214662.0,0.09316972729220821
199,2015,Western Equatoria,Yambio,40,43.0,209825.0,1.9063505302037411
200,2014,Central Equatoria,Yei,9,41.0,278004.0,0.3237363491172789
201,2015,Central Equatoria,Yei,4,41.0,294972.0,0.13560609142562682
202,2015,Lakes,Yirol East,0,15.0,117978.0,0.0
203,2013,Lakes,Yirol West,8,16.0,142422.0,0.5617109716195532
204,2014,Lakes,Yirol West,7,16.0,147946.0,0.47314560718099846
205,2015,Lakes,Yirol West,35,16.0,100953.0,3.466959872415877
