data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6732498,729,SUD8028,8028,10-May-15,2015,1,Violence against civilians,Attack,Military Forces of Sudan (1989-2019),Militia (Pro-Government); Police Forces of South Sudan (2011-) National Security Service,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Blue Nile,Bau,,Bau,11.33,34.06,2,Radio Dabanga,National,"Military, allied miitia and security apparatus attacked, torched Medeim El Jebel village in Bau locality, causing 2,000 to flee their homes.",0,1579554686,SDN
6975188,729,SUD8026,8026,10-May-15,2015,1,Battles,Armed clash,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,SPLM-N: Sudan People's Liberation Movement (North),,2,12,Northern Africa,Sudan,South Kordofan,Talodi,,Buram,10.6261,29.9436,1,Nuba Reports,National,Military and RSF attack SPLM-N-controlled villages in Buram. 3 civilians killed.,3,1583194173,SDN
6975196,729,SUD8027,8027,10-May-15,2015,1,Battles,Armed clash,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,SPLM-N: Sudan People's Liberation Movement (North),,2,12,Northern Africa,Sudan,South Kordofan,Dilling,,El Hadra,11.4338,30.0896,1,Nuba Reports,National,Military and RSF attack SPLM-N-controlled village of El Hadra. 6 civilians killed.,6,1583194173,SDN
5825547,729,SUD8024,8024,9-May-15,2015,1,Violence against civilians,Sexual violence,Militia (Pro-Government),,3,Civilians (Sudan),Women (Sudan),7,37,Northern Africa,Sudan,North Darfur,El Fasher,,El Fasher,13.6264,25.3559,2,Radio Dabanga,National,Pro-government militiamen raped and abducted girls in North Darfur from May 7-9.,0,1567462226,SDN
6233626,728,SSD1966,1966,9-May-15,2015,1,Battles,Armed clash,Bul Nuer Ethnic Militia (South Sudan),UNMISS: United Nations Mission in the Republic of South Sudan (2011-); Police Forces of South Sudan (2011-),4,Haak Nuer Ethnic Militia (South Sudan),Dok Nuer Ethnic Militia (South Sudan),4,44,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Sudan Tribune; Radio Tamazuj,Regional,"Clashes between Bul Nuer, Haak Nuer and Dok Nuer in PoC3 camp, Juba. UNMISS and police intervened to contain violence. 60 injured in 4 days of fighting, 1 killed on May 10.",0,1572403613,SSD
6314580,729,SUD8025,8025,9-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,North Darfur,El Fasher,,El Fasher,13.6264,25.3559,1,UNAMID,Other,Attack against civilians in El Gasour. One civilian reported dead.,1,1572403785,SDN
6730586,729,SUD8023,8023,9-May-15,2015,1,Battles,Armed clash,SPLM-N: Sudan Peoples Liberation Movement (North),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Blue Nile,Bau,,Kilgo,11.5019,34.1501,1,Radio Dabanga,National,Third day of clashes between military and SLPM-N in Kilgo. 13 soldiers and 1 rebel dead on third day of battle.,14,1579554679,SDN
6233625,728,SSD1965,1965,8-May-15,2015,1,Battles,Armed clash,Bul Nuer Ethnic Militia (South Sudan),UNMISS: United Nations Mission in the Republic of South Sudan (2011-); Police Forces of South Sudan (2011-),4,Haak Nuer Ethnic Militia (South Sudan),,4,44,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Radio Tamazuj; Sudan Tribune,Regional,"Clashes between Bul Nuer and Haak Nuer in PoC1 camp in Juba. Clashes began when a Bul refused to marry an impregnated Haak girl. UNMISS and police intervened to contain violence. 60 injured in 4 days of fighting, 1 killed on May 10.",0,1572403613,SSD
6729767,729,SUD8020,8020,8-May-15,2015,1,Battles,Armed clash,SPLM-N: Sudan Peoples Liberation Movement (North),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Blue Nile,Bau,,Kilgo,11.5019,34.1501,1,Radio Dabanga,National,Second day of clashes between military and SLPM-N in Kilgo.,0,1579554676,SDN
5827475,729,SUD8021,8021,8-May-15,2015,1,Violence against civilians,Sexual violence,Militia (Pro-Government),,3,Civilians (Sudan),Women (Sudan),7,37,Northern Africa,Sudan,North Darfur,El Fasher,,El Fasher,13.6264,25.3559,2,Radio Dabanga,National,Pro-government militiamen raped and abducted girls in North Darfur from May 7-9.,0,1567462228,SDN
6867958,729,SUD8022,8022,8-May-15,2015,1,Violence against civilians,Attack,Military Forces of Sudan (1989-2019) Rapid Support Forces,,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,North Darfur,Dar El Salam,,Dobo Al Madresa,13.08,24.7939,1,Radio Dabanga,National,"200 RSF in armed vehicles attacked Dobo El Madrasa, killing 3 civilians. 7 villagers injured. Several children were abducted.",3,1581982137,SDN
6975490,728,SSD1961,1961,7-May-15,2015,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Jonglei,Ayod,Wau,Ayod,8.1234,31.4289,2,Radio Tamazuj,Regional,"Clashes between military and SPLA/M-IO in Tem area, 12km north of Ayod.",0,1583194175,SSD
6233624,728,SSD1963,1963,7-May-15,2015,1,Violence against civilians,Sexual violence,Military Forces of South Sudan (2011-),Bul Nuer Ethnic Militia (South Sudan),1,Civilians (South Sudan),Women (South Sudan),7,17,Eastern Africa,South Sudan,Unity,Guit,Rubkoana,Gwit,9.12,29.91,1,Amnesty International; HRW,Other,Soldiers and Bul Nuer allied militia beat and killed several civilians in Gwit. Some women raped.,20,1572403613,SSD
5827867,729,SUD8014,8014,7-May-15,2015,1,Violence against civilians,Sexual violence,Militia (Pro-Government),,3,Civilians (Sudan),Women (Sudan),7,37,Northern Africa,Sudan,North Darfur,El Fasher,,El Fasher,13.6264,25.3559,2,Radio Dabanga,National,Pro-government militiamen raped and abducted girls in North Darfur from May 7-9.,0,1567462229,SDN
6730527,729,SUD8016,8016,7-May-15,2015,1,Battles,Armed clash,SPLM-N: Sudan Peoples Liberation Movement (North),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Blue Nile,Bau,,Bagis,11.589,34.1903,1,Radio Dabanga; Radio Tamazuj,National,"Clashes between military, SAF and SPLM-N in Bagis, Blue Nile state. Dozens of soldiers and one rebel killed in clashes in Bagis and Kilgo (7 fatalities coded for Kilgo, 6 for Bagis).",6,1579554679,SDN
